x,y,name,type,adm2code,adm1code,adm1_en,adm2_en,adm0code,adm0_en,total,male,female
-73.037,18.825,BOIS NEUF / FOSREF,hospital,HT0152,HT01,West,Pointe a Raquette,HT,Haiti,24518,12750,11768
-72.625614,19.4933795,BRUNETTE,hospital,HT0511,HT05,Artibonite,Gonaives,HT,Haiti,356324,171084,185240
-72.6256188,19.4934245,BRUNETTE,hospital,HT0511,HT05,Artibonite,Gonaives,HT,Haiti,356324,171084,185240
-72.3077242,18.5504383,BSD Santé,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-73.2004024,19.6927352,Baie de Henne,hospital,HT0932,HT09,North-West,Baie de Henne,HT,Haiti,27283,14020,13263
-73.681588,18.493214,Baradères,hospital,HT1031,HT10,Nippes,Baraderes,HT,Haiti,41245,22402,18843
-72.490697,19.025578,Barbe,hospital,HT0532,HT05,Artibonite,Verrettes,HT,Haiti,144812,72157,72655
-74.0405751,18.5152667,Bon Samaritain des Roseaux,hospital,HT0832,HT08,Grande'Anse,Roseaux,HT,Haiti,35756,18981,16775
-73.7614931,18.3005602,Bur/Enic,hospital,HT0711,HT07,South,Les Cayes,HT,Haiti,151696,74476,77220
-72.279,18.571,C /S PETIT PLACE CAZEAU,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-73.6529925,18.2983423,C.S CAVAILLON,hospital,HT0733,HT07,South,Cavaillon,HT,Haiti,48687,25648,23039
-72.183933,18.539474,C/S Lespwa,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.183933,18.539474,C/S Maison,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.1840218,18.5396003,C/S Saint-esprit,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-73.8926029,18.5676264,CAL DE CORAIL / HOPITAL SAINT PIERRE,hospital,HT0831,HT08,Grande'Anse,Corail,HT,Haiti,19566,10311,9255
-73.20683,18.482994,CAL DE MADIAN,hospital,HT1012,HT10,Nippes,Petite Riviere de Nippes,HT,Haiti,28553,15056,13497
-73.1441282092099,18.42051825,CAL DE PAILLANT Hopital Notre Dame de la Victoire de Pailland,hospital,HT1014,HT10,Nippes,Paillant,HT,Haiti,17332,8791,8541
-73.1447789,18.4190837,CAL DE PAILLANT Hopital Notre Dame de la Victoire de Pailland,hospital,HT1014,HT10,Nippes,Paillant,HT,Haiti,17332,8791,8541
-72.0796246,19.166625,CAL ST ESPRIT DUFAILLY,hospital,HT0611,HT06,Centre,Hinche,HT,Haiti,120867,61178,59689
-71.784737,19.3874036,CAL de Mont Organise,hospital,HT0423,HT04,North-East,Mont-Organise,HT,Haiti,20973,10551,10422
-72.5529376,19.6927665,CAL de Pilate,hospital,HT0372,HT03,North,Pilate,HT,Haiti,54050,26667,27383
-72.0162173,19.5862238,CAL de Trou du Nord,hospital,HT0431,HT04,North-East,Trou du Nord,HT,Haiti,48931,24024,24907
-71.8356353,19.377746,CARICE STE - HELENE,hospital,HT0442,HT04,North-East,Carice,HT,Haiti,13615,6903,6712
-74.161041,18.533834,CARITAS,hospital,HT0811,HT08,Grande'Anse,Jeremie,HT,Haiti,134317,68644,65673
-73.8520544,18.1151618,CARREFOUR JOUTE,hospital,HT0722,HT07,South,Saint Jean du Sud,HT,Haiti,25567,13884,11683
-72.2984529,18.5168855,CASF Kay Pou Zafet Sante Fanm,hospital,HT0114,HT01,West,Petion-Ville,HT,Haiti,376834,182671,194163
-72.6348863,19.439114,CDS EBEN EZER,hospital,HT0511,HT05,Artibonite,Gonaives,HT,Haiti,356324,171084,185240
-71.9356588,18.8317877,CDS de Las Cahobas (Unité de Maladie Infectueuse),hospital,HT0631,HT06,Centre,Lascahobas,HT,Haiti,45873,23088,22785
-72.3414899,18.5557032,CEGYPEF,hospital,HT0111,HT01,West,Port-au-Prince,HT,Haiti,987310,465840,521470
-72.1833009,19.7327323,CEMAD CENTRE MEDICAL AIDE DIVINE,hospital,HT0311,HT03,North,Cap-Haitien,HT,Haiti,274404,127501,146903
-73.0612373,18.825841,CENTE WORLD VISION DE TI PALMIS,hospital,HT0152,HT01,West,Pointe a Raquette,HT,Haiti,24518,12750,11768
-72.3435517,18.4859999,CENTRE COMMUNAUTAIRE DE FECA(FESSARD,hospital,HT0114,HT01,West,Petion-Ville,HT,Haiti,376834,182671,194163
-73.4965597,18.3728412,CENTRE DE BETHESDA PLEUVANT DE L'AZILE,hospital,HT1023,HT10,Nippes,L'Asile,HT,Haiti,41073,21485,19588
-72.38193,18.527659,CENTRE DE BIZOTON BIZOTON,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.2859319,18.5954782,CENTRE DE LA SANTE DE LA CROIX DES MISSIONS,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-74.0979721,18.2490093,CENTRE DE PORT-A-PIMENT,hospital,HT0742,HT07,South,Port-a-Piment,HT,Haiti,18922,9697,9225
-72.2210877,18.5722856,CENTRE DE PREVETION ET DE RECUPERATION NUTRITIONNEL,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.4417134,18.7320972,CENTRE DE SANTE / BELLANGER,hospital,HT0142,HT01,West,Cabaret,HT,Haiti,68245,33888,34357
-72.23864,18.424694,CENTRE DE SANTE AFE NEG KOMBIT DE DIMUSSEAU,hospital,HT0115,HT01,West,Kenscoff,HT,Haiti,57434,28794,28640
-73.2115326,19.6670063,CENTRE DE SANTE BAIE DE HENNE,hospital,HT0932,HT09,North-West,Baie de Henne,HT,Haiti,27283,14020,13263
-72.4112798,18.5306653,CENTRE DE SANTE BETHESDA,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.8467141,18.7888996,CENTRE DE SANTE BILL RICE,hospital,HT0151,HT01,West,Anse a Galets,HT,Haiti,62559,31372,31187
-72.56015,18.535889,CENTRE DE SANTE BON BERGER,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.6970422,19.5469279,CENTRE DE SANTE BON BERGER BASSIN,hospital,HT0511,HT05,Artibonite,Gonaives,HT,Haiti,356324,171084,185240
-73.7607868,18.2280078,CENTRE DE SANTE CITE LUMIERE,hospital,HT0711,HT07,South,Les Cayes,HT,Haiti,151696,74476,77220
-72.2986912,18.5420637,CENTRE DE SANTE COMMUNAUTAIRE DE DELMAS,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.2971233,18.5730966,CENTRE DE SANTE COMMUNAUTAIRE MAIS GATE,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-73.054655,19.63236,CENTRE DE SANTE D'ANSE ROUGE,hospital,HT0523,HT05,Artibonite,Anse Rouge,HT,Haiti,43395,21763,21632
-72.755174,18.183016,CENTRE DE SANTE DE BAINET,hospital,HT0221,HT02,South-East,Bainet,HT,Haiti,86755,44227,42528
-72.3795735,19.7802422,CENTRE DE SANTE DE BAS- LIMBE,hospital,HT0362,HT03,North,Bas Limbe,HT,Haiti,20899,10330,10569
-72.433496,19.8082858,CENTRE DE SANTE DE BAYEUX,hospital,HT0352,HT03,North,Port-Margot,HT,Haiti,49879,25067,24812
-72.063625,18.2378533,CENTRE DE SANTE DE BELLE ANSE,hospital,HT0231,HT02,South-East,Belle Anse,HT,Haiti,75951,37329,38622
-71.8947172,18.2591111,CENTRE DE SANTE DE BOUDARIN,hospital,HT0232,HT02,South-East,Grand Gosier,HT,Haiti,17059,8535,8524
-74.3132275,18.550485,CENTRE DE SANTE DE CHAMBELLAN,hospital,HT0815,HT08,Grande'Anse,Chambellan,HT,Haiti,26459,13577,12882
-72.8345054,19.8750803,CENTRE DE SANTE DE CHAMSOLME,hospital,HT0914,HT09,North-West,Chamsolme,HT,Haiti,30361,14782,15579
-74.0404281,18.2060695,CENTRE DE SANTE DE COTEAUX,hospital,HT0741,HT07,South,Coteaux,HT,Haiti,21302,11122,10180
-72.2270416,18.5757176,CENTRE DE SANTE DE CROIX-DES-BOUQUETS,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.6354089,19.2844154,CENTRE DE SANTE DE DESDUNES,hospital,HT0544,HT05,Artibonite,Desdunes,HT,Haiti,37027,18608,18419
-72.9581193,18.3058918,CENTRE DE SANTE DE DESLATTES,hospital,HT0122,HT01,West,Petit-Goave,HT,Haiti,172965,87460,85505
-72.0621974959488,18.53229785,CENTRE DE SANTE DE GANTHIER,hospital,HT0133,HT01,West,Ganthier,HT,Haiti,62534,31413,31121
-72.6100471,19.3048294,CENTRE DE SANTE DE L'ESTERE,hospital,HT0513,HT05,Artibonite,L'Estere,HT,Haiti,45159,22436,22723
-72.0516378,18.6427548,CENTRE DE SANTE DE L'ETANG,hospital,HT0132,HT01,West,Thomazeau,HT,Haiti,52960,27069,25891
-72.2951223,18.4677645,CENTRE DE SANTE DE LA FRATERNITE,hospital,HT0115,HT01,West,Kenscoff,HT,Haiti,57434,28794,28640
-72.5349856,19.1271866,CENTRE DE SANTE DE LIANCOURT,hospital,HT0532,HT05,Artibonite,Verrettes,HT,Haiti,144812,72157,72655
-73.2465724,19.8047718,CENTRE DE SANTE DE MARE ROUGE,hospital,HT0934,HT09,North-West,Jean Rabel,HT,Haiti,148416,75060,73356
-71.7830164,19.6169845,CENTRE DE SANTE DE MARIGOT,hospital,HT0412,HT04,North-East,Ferrier,HT,Haiti,14642,7526,7116
-72.3263724,18.2316004,CENTRE DE SANTE DE MARIGOT,hospital,HT0212,HT02,South-East,Marigot,HT,Haiti,74700,35543,39157
-72.3613793,19.5182702,CENTRE DE SANTE DE MARMELADE,hospital,HT0552,HT05,Artibonite,Marmelade,HT,Haiti,38057,19340,18717
-71.982289,19.369569,CENTRE DE SANTE DE MOMBIN CROCHU,hospital,HT0443,HT04,North-East,Mombin Crochu,HT,Haiti,34700,17367,17333
-74.2591016,18.5597788,CENTRE DE SANTE DE MORON,hospital,HT0814,HT08,Grande'Anse,Moron,HT,Haiti,31157,16330,14827
-72.30442,18.247807,CENTRE DE SANTE DE PEREDO,hospital,HT0212,HT02,South-East,Marigot,HT,Haiti,74700,35543,39157
-72.733,18.333,CENTRE DE SANTE DE RABOTEAU,hospital,HT0123,HT01,West,Grand-Goave,HT,Haiti,136502,64473,72029
-72.0828684,19.4104377,CENTRE DE SANTE DE RANQUITTE,hospital,HT0343,HT03,North,Ranquitte,HT,Haiti,27704,14204,13500
-74.1121742,18.6376058,CENTRE DE SANTE DE SAINT - HELENE,hospital,HT0811,HT08,Grande'Anse,Jeremie,HT,Haiti,134317,68644,65673
-73.5464691,18.2629911,CENTRE DE SANTE DE SAINT LOUIS DU SUD,hospital,HT0732,HT07,South,Saint louis du Sud,HT,Haiti,64924,33029,31895
-71.7612484,19.5300211,CENTRE DE SANTE DE SAVANNE AU LAIT,hospital,HT0421,HT04,North-East,Ouanaminthe,HT,Haiti,106129,52331,53798
-72.2673984,18.5803795,CENTRE DE SANTE DE TABARRE - HAITI -MED,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-71.8601155,18.2365372,CENTRE DE SANTE DE THIOTTE,hospital,HT0233,HT02,South-East,Thiotte,HT,Haiti,34925,17465,17460
-71.9430065,18.4524545,CENTRE DE SANTE DE THOMAN,hospital,HT0133,HT01,West,Ganthier,HT,Haiti,62534,31413,31121
-72.0938362909279,18.65348895,CENTRE DE SANTE DE THOMAZEAU,hospital,HT0132,HT01,West,Thomazeau,HT,Haiti,52960,27069,25891
-72.8636364,18.3037196,CENTRE DE SANTE DES PALMES,hospital,HT0122,HT01,West,Petit-Goave,HT,Haiti,172965,87460,85505
-72.3089678,18.5435841,CENTRE DE SANTE DU SOUVENIR,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.2914744,18.5470543,CENTRE DE SANTE ECERES,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.2496954,18.5305125,CENTRE DE SANTE EVANGELIQUE DE TORCELLE,hospital,HT0114,HT01,West,Petion-Ville,HT,Haiti,376834,182671,194163
-72.2956154,18.5576337,CENTRE DE SANTE FAMILIA LE CHAB,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.6427739,18.4271546,CENTRE DE SANTE FARNESE LOUIS CHARLES DE PASQUA,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.2763636,18.5160628,CENTRE DE SANTE FOCOMEL (163),hospital,HT0114,HT01,West,Petion-Ville,HT,Haiti,376834,182671,194163
-71.7691436,19.4445422,CENTRE DE SANTE GENS DE NANTES,hospital,HT0421,HT04,North-East,Ouanaminthe,HT,Haiti,106129,52331,53798
-72.7693875,18.4284807,CENTRE DE SANTE GEORGES GAUVIN,hospital,HT0123,HT01,West,Grand-Goave,HT,Haiti,136502,64473,72029
-72.176675,18.5880441,CENTRE DE SANTE H.E.L.P. INC DE VAUDREUIL,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.3186881,18.5249487,CENTRE DE SANTE HAUT TURGEAU,hospital,HT0111,HT01,West,Port-au-Prince,HT,Haiti,987310,465840,521470
-72.2421257,18.5202797,CENTRE DE SANTE HOSPITALIER DE PERNIER,hospital,HT0114,HT01,West,Petion-Ville,HT,Haiti,376834,182671,194163
-72.27091,19.677599,CENTRE DE SANTE JEHOVAH JIREH,hospital,HT0322,HT03,North,Plaine du Nord,HT,Haiti,41255,20212,21043
-73.2456249,18.3080638,CENTRE DE SANTE LA COLLINE,hospital,HT0731,HT07,South,Aquin,HT,Haiti,104216,53125,51091
-72.2269395,19.7168598,CENTRE DE SANTE LA PROVIDENCE DE LORY,hospital,HT0323,HT03,North,Milot,HT,Haiti,31992,16101,15891
-72.0239049,19.3381795,CENTRE DE SANTE LA VICTOIRE,hospital,HT0345,HT03,North,La Victoire,HT,Haiti,10541,5234,5307
-72.615843,19.6100212,CENTRE DE SANTE LABRANLE,hospital,HT0511,HT05,Artibonite,Gonaives,HT,Haiti,356324,171084,185240
-72.4103758,18.4434519,CENTRE DE SANTE LAVALE,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.2219622,18.5824059,CENTRE DE SANTE LIFE LINE,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.1819314,19.7251301,CENTRE DE SANTE MADELINE,hospital,HT0311,HT03,North,Cap-Haitien,HT,Haiti,274404,127501,146903
-72.4112206,18.5307041,CENTRE DE SANTE MARANATHA,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.7206567,19.9313871,CENTRE DE SANTE MISSION CHRETIENNE,hospital,HT0921,HT09,North-West,Saint-Louis du Nord,HT,Haiti,116350,56426,59924
-73.3752506,19.8033335,CENTRE DE SANTE MOLE ST NICOLAS,hospital,HT0931,HT09,North-West,Mole Saint Nicolas,HT,Haiti,33863,17486,16377
-72.3833556,18.5198502,CENTRE DE SANTE OPA,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.19255,18.542574,CENTRE DE SANTE OPERATION DOUBLE HARVEST,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-71.9867988,19.1302773,CENTRE DE SANTE PERE LOUIS FANESE LOUIS CHARLES,hospital,HT0611,HT06,Centre,Hinche,HT,Haiti,120867,61178,59689
-72.2467539,18.6152497,CENTRE DE SANTE PETITS AMIS DE JESUS,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.2252377,18.5638088,CENTRE DE SANTE S.I.F/ONG,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.3739571,18.7213787,CENTRE DE SANTE SADA DE SOURCE MATELAS,hospital,HT0142,HT01,West,Cabaret,HT,Haiti,68245,33888,34357
-74.454085,18.4899214,CENTRE DE SANTE SAINT JEAN BAPTISTE,hospital,HT0821,HT08,Grande'Anse,Anse d'Hainault,HT,Haiti,36401,19175,17226
-72.4284018,19.7506201,CENTRE DE SANTE SAINT MALACHY,hospital,HT0352,HT03,North,Port-Margot,HT,Haiti,49879,25067,24812
-71.8108469,18.2763335,CENTRE DE SANTE SAVANNE ZOMBIE,hospital,HT0233,HT02,South-East,Thiotte,HT,Haiti,34925,17465,17460
-71.8107444,18.2763518,CENTRE DE SANTE SAVANNE ZOMBIE,hospital,HT0233,HT02,South-East,Thiotte,HT,Haiti,34925,17465,17460
-72.6840131,19.669786,CENTRE DE SANTE SOS FRANCE,hospital,HT0521,HT05,Artibonite,Gros Morne,HT,Haiti,155692,78233,77459
-72.34521,18.712003,CENTRE DE SANTE ST ANTOINE DE TITANYEN,hospital,HT0142,HT01,West,Cabaret,HT,Haiti,68245,33888,34357
-73.812482,18.0761624,CENTRE DE SANTE ST JEAN DU SUD,hospital,HT0722,HT07,South,Saint Jean du Sud,HT,Haiti,25567,13884,11683
-72.6661969,18.2678621,CENTRE DE SANTE ST JOSEPH,hospital,HT0214,HT02,South-East,La Vallee,HT,Haiti,36427,19106,17321
-72.3058194,18.5437287,CENTRE DE SANTE ST PAUL,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-74.167,18.633,CENTRE DE SANTE STE HELENE(CSSH),hospital,HT0811,HT08,Grande'Anse,Jeremie,HT,Haiti,134317,68644,65673
-71.983,18.467,CENTRE DE SANTE STE-ELISABETH,hospital,HT0133,HT01,West,Ganthier,HT,Haiti,62534,31413,31121
-72.7807495,19.5988616,CENTRE DE SANTE TERRE - NEUVE,hospital,HT0522,HT05,Artibonite,Terre Neuve,HT,Haiti,31252,15940,15312
-72.4143041,18.4015935,CENTRE DE SANTE TOTOLEAU,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.4300885,19.7370092,CENTRE DE SANTE WESLEYEN DE FAUCHE,hospital,HT0352,HT03,North,Port-Margot,HT,Haiti,49879,25067,24812
-73.0929299,18.4097527,CENTRE DISPENSAIRE DE CHALON,hospital,HT1011,HT10,Nippes,Miragoane,HT,Haiti,62528,31656,30872
-72.397995,18.5415286,CENTRE HOSPITALIER D ARCACHON 32,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.3258197285296,18.53898965,CENTRE HOSPITALIER DE LA RUE BERNE,hospital,HT0111,HT01,West,Port-au-Prince,HT,Haiti,987310,465840,521470
-72.3349898,18.5390066,CENTRE JEUNES DE CHRIST-ROI,hospital,HT0111,HT01,West,Port-au-Prince,HT,Haiti,987310,465840,521470
-73.45,18.433,CENTRE JEUNES DE DELMAS 19,hospital,HT1022,HT10,Nippes,Petit Trou de Nippes,HT,Haiti,29990,16391,13599
-72.634,18.511,CENTRE JEUNES DE LEOGANE,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.62576,18.507579,CENTRE JEUNES FOSREF LEOGANE,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.167,18.6,CENTRE JEUNES PLAINE DU CUL DE SAC,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.61,18.538,CENTRE LAKAY DE MARIANI,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.286,18.513,CENTRE LAKAY DE PETION-VILLE,hospital,HT0114,HT01,West,Petion-Ville,HT,Haiti,376834,182671,194163
-73.75,18.267,CENTRE LAKAY DES CAYES,hospital,HT0711,HT07,South,Les Cayes,HT,Haiti,151696,74476,77220
-72.6292017765602,18.5063068,CENTRE MATERNO INFANTIL DE LEOGANE,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.2522038,19.7196138,CENTRE MEDICAL BETHESDA DE VAUDREUIL,hospital,HT0322,HT03,North,Plaine du Nord,HT,Haiti,41255,20212,21043
-74.1,18.567,CENTRE MEDICAL CHARLES COLIMON,hospital,HT0811,HT08,Grande'Anse,Jeremie,HT,Haiti,134317,68644,65673
-72.270015,18.581347,CENTRE MEDICAL COMMUNAUTAIRE DE TABARRE,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-72.537902,18.5352345,CENTRE MEDICAL DE LA PAIX DE GRESSIER,clinic,HT0116,HT01,West,Gressier,HT,Haiti,36453,18323,18130
-72.6404754,19.2068154,CENTRE MEDICAL DE LA RHEMA,hospital,HT0531,HT05,Artibonite,Saint-Marc,HT,Haiti,266642,129153,137489
-73.3014356,18.3107398,CENTRE MEDICAL DE MASEILLAN,hospital,HT0731,HT07,South,Aquin,HT,Haiti,104216,53125,51091
-72.4084446,18.5378691,CENTRE MEDICAL O.M./ PES SANTE PLUS,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.3131459,18.5609273,CENTRE MEDICAL SAINT MONFORT,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.2748597,18.5887319,CENTRE MEDICO - CHIRUGICAL SAINT JEAN,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-72.5900394,18.4928307,CENTRE MEDICO - COMMUNAUTAIRE DE DARBONE,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-74.1116,18.622122,CENTRE MEDICO - SOCIAL DE GEBEAU,hospital,HT0811,HT08,Grande'Anse,Jeremie,HT,Haiti,134317,68644,65673
-72.6900742,19.453727,CENTRE MEDICO - SOCIAL DE K- SOLEIL,hospital,HT0511,HT05,Artibonite,Gonaives,HT,Haiti,356324,171084,185240
-72.4126012,18.5183565,CENTRE MEDICO - SOCIAL DE LA RIVIERE FROIDE,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.2701891,19.6768392,CENTRE MEDICO SOCIAL,hospital,HT0322,HT03,North,Plaine du Nord,HT,Haiti,41255,20212,21043
-72.295542,18.5496771,CENTRE MEDICO SOCIAL,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-71.7809727,19.409217,CENTRE MEDICOSOCIAL DE MONT-ORGANISE,hospital,HT0423,HT04,North-East,Mont-Organise,HT,Haiti,20973,10551,10422
-72.3561794,18.7157465,CENTRE SANTE DE LA FONDATION DES L'ESPLOIR,hospital,HT0142,HT01,West,Cabaret,HT,Haiti,68245,33888,34357
-72.392019,18.406409,CENTRE SANTE DICOU,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.3100619,18.6126168,CENTRE SANTE LUCELIA BONTEMPS,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-73.1124698,18.9298772,CENTRE WORLD VISION DE GROS MANGLE,hospital,HT0152,HT01,West,Pointe a Raquette,HT,Haiti,24518,12750,11768
-72.2539768,18.6332832,CENTRE hOSPITALIER COMMUNAUTAIRE URGENCE,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-73.8889532,18.2029657,CHANTAL,hospital,HT0713,HT07,South,Chantal,HT,Haiti,34121,17942,16179
-73.888,18.126,CHOSCAL-Centre Hospitalier Sainte-Catherine Laboure,hospital,HT0721,HT07,South,Port-Salut,HT,Haiti,19098,10076,9022
-73.7524688,18.1920777,CITY MED,hospital,HT0711,HT07,South,Les Cayes,HT,Haiti,151696,74476,77220
-72.289124,18.5460182,CLINIQUE COMMUNAUTAIRE DE DELMAS 75,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.7709266,18.4285907,CLINIQUE DE LA METROPOLE,hospital,HT0123,HT01,West,Grand-Goave,HT,Haiti,136502,64473,72029
-72.4314192,18.5152898,CLINIQUE DE MORNE A CHANDELLE,hospital,HT0113,HT01,West,Carrefour,HT,Haiti,511345,243112,268233
-72.833,18.417,CLINIQUE MEDICO-CHIRURGICALE DUGUE,hospital,HT0122,HT01,West,Petit-Goave,HT,Haiti,172965,87460,85505
-72.5238943,18.7788914,CLINIQUE MERES ET ENFANTS,hospital,HT0141,HT01,West,Arcahaie,HT,Haiti,130306,65206,65100
-72.172815,19.6114825,CLINIQUE METHODISTE LATANNERIE,hospital,HT0331,HT03,North,Grande Riviere Du Nord,HT,Haiti,41362,20476,20886
-73.3049511,18.3099418,CLINIQUE MOBILE FHAPROMES,hospital,HT0731,HT07,South,Aquin,HT,Haiti,104216,53125,51091
